3Alpha_Code,Taxonomic_Code,Name_en,Scientific_Name
HEE,1080600201,Snaggletooth shark,Hemipristis elongata
HEC,1080600301,Whitetip weasel shark,Paragaleus leucolomatus
HEI,1080600302,Atlantic weasel shark,Paragaleus pectoralis
HEN,1080600303,Straight-tooth weasel shark,Paragaleus tengi
IEI,1080600304,Slender weasel shark,Paragaleus randalli
HEH,1080601801,Sicklefin weasel shark,Hemigaleus microstoma
CLL,1080702001,Barbeled houndshark,Leptocharias smithii
CPE,1080800101,Harlequin catshark,Ctenacis fehlmanni
PEB,1080800201,Cuban ribbontail catshark,Eridacnis barbouri
PEA,1080800202,Pygmy ribbontail catshark,Eridacnis radcliffei
PED,1080800203,African ribbontail catshark,Eridacnis sinuans
CPG,1080800301,Slender smooth-hound,Gollum attenuatus
CPY,1080800401,Graceful catshark,Proscyllium habereri
CVX,108XXXXXXX,Ground sharks,Carcharhiniformes
GSK,1090100201,Greenland shark,Somniosus microcephalus
SOR,1090100202,Little sleeper shark,Somniosus rostratus
SON,1090100203,Pacific sleeper shark,Somniosus pacificus
CHZ,1090100301,Roughskin spurdog,Cirrhigaleus asper
CHF,1090100302,Mandarin dogfish,Cirrhigaleus barbifer
EUZ,1090100401,Taillight shark,Euprotomicroides zantedeschia
HYY,1090100501,Longnose pygmy shark,Heteroscymnoides marleyi
QUB,1090100701,Longnose spurdog,Squalus blainville
QUC,1090100702,Cuban dogfish,Squalus cubensis
QUJ,1090100703,Japanese spurdog,Squalus japonicus
DGS,1090100704,Picked dogfish,Squalus acanthias
QUK,1090100705,Shortspine spurdog,Squalus mitsukurii
QUR,1090100706,Cyrano spurdog,Squalus rancureli
QUN,1090100707,Blacktailed spurdog,Squalus melanurus
DOP,1090100708,Shortnose spurdog,Squalus megalops
QYW,1090100709,Spotted spiny dogfish,Squalus suckleyi
DGZ,10901007XX,Dogfishes nei,Squalus spp
GUP,1090100801,Gulper shark,Centrophorus granulosus
CPU,1090100802,Little gulper shark,Centrophorus uyato
GUQ,1090100803,Leafscale gulper shark,Centrophorus squamosus
CPL,1090100804,Lowfin gulper shark,Centrophorus lusitanicus
CEA,1090100805,Needle dogfish,Centrophorus acus
CEU,1090100806,Dumb gulper shark,Centrophorus harrissoni
CEM,1090100807,Smallfin gulper shark,Centrophorus moluccensis
CEK,1090100808,Taiwan gulper shark,Centrophorus niaukang
CEE,1090100809,Mosaic gulper shark,Centrophorus tessellatus
GVA,1090100810,Blackfin gulper shark,Centrophorus atromarginatus
GVI,1090100811,Black gulper shark,Centrophorus isodon
CWO,10901008XX,Gulper sharks nei,Centrophorus spp
ETX,1090101001,Velvet belly,Etmopterus spinax
ETB,1090101002,Blurred smooth lantern shark,Etmopterus bigelowi
ETH,1090101003,Shorttail lanternshark,Etmopterus brachyurus
ETU,1090101004,Lined lanternshark,Etmopterus bullisi
ETR,1090101005,Great lanternshark,Etmopterus princeps
ETP,1090101006,Smooth lanternshark,Etmopterus pusillus
ETI,1090101007,Broadbanded lanternshark,Etmopterus gracilispinis
ETM,1090101008,Southern lanternshark(Lucifer),Etmopterus granulosus
ETN,1090101009,Carribean lanternshark,Etmopterus hillianus
ETF,1090101010,Blackbelly lanternshark,Etmopterus lucifer
ETL,1090101011,Mollers lantern shark,Etmopterus molleri
ETT,1090101012,African lanternshark,Etmopterus polli
ETZ,1090101013,Fringfin lanternshark,Etmopterus schultzi
ETQ,1090101014,Thorny lanternshark,Etmopterus sentosus
ETK,1090101015,Splendid lanternshark,Etmopterus splendidus
ETJ,1090101016,Brown lanternshark,Etmopterus unicolor
ETV,1090101017,Hawaiian lanternshark,Etmopterus villosus
ETW,1090101018,Green lanternshark,Etmopterus virens
ETE,1090101021,,Etmopterus compagnoi
ETO,1090101022,Combtoothed lanternshark,Etmopterus decacuspidatus
SHL,10901010XX,Lanternsharks nei,Etmopterus spp
ISB,1090101101,Cookie cutter shark,Isistius brasiliensis
ISP,1090101102,Largetooth cookiecutter shark,Isistius plutodus
EUP,1090101201,Pygmy shark,Euprotomicrus bispinatus
DCA,1090101401,Birdbeak dogfish,Deania calcea
SDH,1090101402,Rough longnose dogfish,Deania hystricosa
SDU,1090101403,Arrowhead dogfish,Deania profundorum
SDQ,1090101404,Longsnout dogfish,Deania quadrispinosa
DNA,10901014XX,Deania dogfishes nei,Deania spp
YSA,1090101501,Whitetail dogfish,Scymnodalatias albicauda
YSS,1090101502,Sherwood dogfish,Scymnodalatias sherwoodi
CYO,1090101601,Portuguese dogfish,Centroscymnus coelolepis
CYP,1090101602,Longnose velvet dogfish,Centroscymnus crepidater
CYY,1090101603,Shortnose velvet dogfish,Centroscymnus cryptacanthus
