"year","production_area","country","iso","general_name","species","common_name","sci_name","quantity","aquaculture","log10_aqua","post"
1976,37,"Italy","ITA","Lobster","NEP","norway lobster","Nephrops norvegicus",2856,0,0,1
1976,37,"Italy","ITA","Lobster","SLO","common spiny lobster","Palinurus elephas",787,0,0,1
1976,31,"Jamaica","JAM","Lobster","SLC","caribbean spiny lobster","Panulirus argus",30,0,0,1
1976,4,"Japan","JPN","Salmon","CHE","masu salmon","Oncorhynchus masou",513,0,0,0
1976,61,"Japan","JPN","Salmon","CHE","masu salmon","Oncorhynchus masou",3736,0,0,0
1976,61,"Japan","JPN","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",1604,0,0,0
1976,4,"Japan","JPN","Salmon","CHU","chum salmon","Oncorhynchus keta",3637,0,0,0
1976,61,"Japan","JPN","Salmon","CHU","chum salmon","Oncorhynchus keta",74765,0,0,0
1976,61,"Japan","JPN","Salmon","COH","coho salmon","Oncorhynchus kisutch",7697,465,2.66745295288995,1
1976,61,"Japan","JPN","Lobster","LOJ","longlegged spiny lobster","Panulirus longipes",1028,0,0,1
1976,4,"Japan","JPN","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",180,0,0,0
1976,61,"Japan","JPN","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",29449,0,0,0
1976,4,"Japan","JPN","Salmon","SOC","sockeye salmon","Oncorhynchus nerka",56,0,0,0
1976,61,"Japan","JPN","Salmon","SOC","sockeye salmon","Oncorhynchus nerka",8844,0,0,0
1976,51,"Kenya","KEN","Lobster","SLV","tropical spiny lobsters","Panulirus spp",73,0,0,1
1976,51,"Madagascar","MDG","Lobster","SLV","tropical spiny lobsters","Panulirus spp",150,0,0,1
1976,31,"Martinique","MTQ","Lobster","SLC","caribbean spiny lobster","Panulirus argus",27,0,0,1
1976,51,"Mauritius","MUS","Lobster","SLV","tropical spiny lobsters","Panulirus spp",26,0,0,1
1976,31,"Mexico","MEX","Lobster","SLC","caribbean spiny lobster","Panulirus argus",229,0,0,1
1976,77,"Mexico","MEX","Lobster","SLV","tropical spiny lobsters","Panulirus spp",1461,0,0,1
1976,37,"Morocco","MAR","Lobster","NEP","norway lobster","Nephrops norvegicus",30,0,0,1
1976,34,"Morocco","MAR","Lobster","NEP","norway lobster","Nephrops norvegicus",61,0,0,1
1976,51,"Mozambique","MOZ","Lobster","VLO","spiny lobsters","Palinuridae",200,0,0,1
1976,47,"Namibia","NAM","Lobster","LBC","cape rock lobster","Jasus lalandii",1500,0,0,1
1976,27,"Netherlands","NLD","Lobster","NEP","norway lobster","Nephrops norvegicus",29,0,0,1
1976,71,"New Caledonia","NCL","Lobster","SLV","tropical spiny lobsters","Panulirus spp",5,0,0,1
1976,81,"New Zealand","NZL","Salmon","ASA","australian salmon","Arripis trutta",729,0,0,0
1976,81,"New Zealand","NZL","Lobster","LOR","red rock lobster","Jasus edwardsii",3700,0,0,1
