"year","country","genus","species","sci_name","quantity","aquaculture","post","group","year_start"
1950,"PER","Scomber","MAS","Scomber japonicus",2300,0,0,0,1984.6
1950,"PER","Scomberomorus","SIE","Scomberomorus sierra",500,0,0,0,1984.6
1950,"PHL","Katsuwonus","SKJ","Katsuwonus pelamis",3838,0,0,0,1984.6
1950,"PHL","Loligo","SQC","Loligo spp",5600,0,0,0,1984.6
1950,"PHL","Stolephorus","STO","Stolephorus spp",20100,0,0,0,1984.6
1950,"PNG","Katsuwonus","SKJ","Katsuwonus pelamis",1000,0,0,0,1984.6
1950,"POL","Clupea","HER","Clupea harengus",30000,0,0,0,1984.6
1950,"POL","Scomber","MAC","Scomber scombrus",800,0,0,0,1984.6
1950,"POL","Sprattus","SPR","Sprattus sprattus",1500,0,0,0,1984.6
1950,"PRT","Engraulis","ANE","Engraulis encrasicolus",4800,0,0,0,1984.6
1950,"PRT","Katsuwonus","SKJ","Katsuwonus pelamis",704,0,0,0,1984.6
1950,"PRT","Loliginidae,","SQU","Loliginidae, Ommastrephidae",400,0,0,0,1984.6
1950,"PRT","Merluccius","HKE","Merluccius merluccius",9000,0,0,0,1984.6
1950,"PRT","Sardina","PIL","Sardina pilchardus",75200,0,0,0,1984.6
1950,"PRT","Scomber","VMA","Scomber colias",2400,0,0,0,1984.6
1950,"PYF","Katsuwonus","SKJ","Katsuwonus pelamis",500,0,0,0,1984.6
1950,"REU","Katsuwonus","SKJ","Katsuwonus pelamis",15,0,0,0,1984.6
1950,"SEN","Sardinella","SAA","Sardinella aurita",10000,0,0,0,1984.6
1950,"SGP","Rastrelliger","RAX","Rastrelliger spp",500,0,0,0,1984.6
1950,"SLE","Sardinella","SIX","Sardinella spp",2000,0,0,0,1984.6
1950,"SUN","Clupea","HEP","Clupea pallasii",160000,0,0,0,1984.6
1950,"SUN","Clupea","HER","Clupea harengus",79300,0,0,0,1984.6
1950,"SUN","Clupeonella","CLA","Clupeonella cultriventris",108300,0,0,0,1984.6
1950,"SUN","Engraulis","ANE","Engraulis encrasicolus",58500,0,0,0,1984.6
1950,"SUN","Loliginidae,","SQU","Loliginidae, Ommastrephidae",100,0,0,0,1984.6
1950,"SUN","Mallotus","CAP","Mallotus villosus",100,0,0,0,1984.6
1950,"SUN","Scomber","MAC","Scomber scombrus",1000,0,0,0,1984.6
1950,"SUN","Scomber","MAS","Scomber japonicus",11200,0,0,0,1984.6
1950,"SUN","Sprattus","SPR","Sprattus sprattus",6800,0,0,0,1984.6
1950,"SUN","Theragra","ALK","Theragra chalcogramma",6300,0,0,0,1984.6
1950,"SWE","Clupea","HER","Clupea harengus",91900,0,0,0,1984.6
1950,"SWE","Merluccius","HKE","Merluccius merluccius",1500,0,0,0,1984.6
1950,"SWE","Pandalus","PRA","Pandalus borealis",700,0,0,0,1984.6
1950,"SWE","Scomber","MAC","Scomber scombrus",13400,0,0,0,1984.6
1950,"SWE","Sprattus","SPR","Sprattus sprattus",10100,0,0,0,1984.6
1950,"TGO","Engraulis","ANE","Engraulis encrasicolus",1200,0,0,0,1984.6
1950,"TGO","Sardinella","SAE","Sardinella maderensis",700,0,0,0,1984.6
1950,"THA","Rastrelliger","RAX","Rastrelliger spp",39000,0,0,0,1984.6
1950,"TTO","Scomberomorus","BRS","Scomberomorus brasiliensis",300,0,0,0,1984.6
1950,"TUN","Auxis","FRZ","Auxis thazard, A. rochei",50,0,0,0,1984.6
1950,"TUN","Merluccius","HKE","Merluccius merluccius",100,0,0,0,1984.6
1950,"TUN","Sardina","PIL","Sardina pilchardus",2000,0,0,0,1984.6
1950,"TUN","Sardinella","SIX","Sardinella spp",1200,0,0,0,1984.6
1950,"TUR","Engraulis","ANE","Engraulis encrasicolus",25000,0,0,0,1984.6
1950,"TUR","Sardina","PIL","Sardina pilchardus",3000,0,0,0,1984.6
1950,"TUR","Scomber","MAC","Scomber scombrus",12000,0,0,0,1984.6
1950,"TWN","Auxis","FRZ","Auxis thazard, A. rochei",3000,0,0,0,1984.6
1950,"TWN","Scomber","MAS","Scomber japonicus",3000,0,0,0,1984.6
1950,"TWN","Scomberomorus","NPH","Scomberomorus niphonius",1000,0,0,0,1984.6
1950,"TWN","Sepiidae,","CTL","Sepiidae, Sepiolidae",2000,0,0,0,1984.6
1950,"TWN","Trichiurus","LHT","Trichiurus lepturus",1000,0,0,0,1984.6
1950,"URY","Merluccius","HKP","Merluccius hubbsi",800,0,0,0,1984.6
1950,"USA","Ammodytes","SAN","Ammodytes spp",58,0,0,0,1984.6
1950,"USA","Auxis","FRZ","Auxis thazard, A. rochei",27,0,0,0,1984.6
1950,"USA","Brevoortia","MHA","Brevoortia tyrannus",268083,0,0,0,1984.6
1950,"USA","Brevoortia","MHG","Brevoortia patronus",197452,0,0,0,1984.6
1950,"USA","Clupea","HEP","Clupea pallasii",846,0,0,0,1984.6
1950,"USA","Clupea","HER","Clupea harengus",89147,0,0,0,1984.6
1950,"USA","Engraulis","NPA","Engraulis mordax",2213,0,0,0,1984.6
1950,"USA","Katsuwonus","SKJ","Katsuwonus pelamis",57510,0,0,0,1984.6
1950,"USA","Loliginidae,","SQU","Loliginidae, Ommastrephidae",3791,0,0,0,1984.6
1950,"USA","Merluccius","HKS","Merluccius bilinearis",30533,0,0,0,1984.6
1950,"USA","Pandalus","PRA","Pandalus borealis",49,0,0,0,1984.6
1950,"USA","Placopecten","SCA","Placopecten magellanicus",75803,0,0,0,1984.6
1950,"USA","Sardinops","CPI","Sardinops caeruleus",324105,0,0,0,1984.6
1950,"USA","Scomber","MAC","Scomber scombrus",10021,0,0,0,1984.6
1950,"USA","Scomber","MAS","Scomber japonicus",14810,0,0,0,1984.6
1950,"USA","Scomberomorus","KGM","Scomberomorus cavalla",743,0,0,0,1984.6
1950,"USA","Scomberomorus","SSM","Scomberomorus maculatus",2871,0,0,0,1984.6
1950,"VEN","Auxis","FRZ","Auxis thazard, A. rochei",2000,0,0,0,1984.6
1950,"VEN","Sardinella","SAA","Sardinella aurita",17000,0,0,0,1984.6
1950,"VEN","Scomberomorus","KGM","Scomberomorus cavalla",4000,0,0,0,1984.6
