"year","production_area","country","iso","source","species","common_name","sci_name","quantity","value","lobster","salmon","general_name"
2012,31,"St. Vincent & Grenadines","VCT","Catches","SLC","Caribbean spiny lobster","Panulirus argus",24,NA,TRUE,FALSE,"Lobster"
2012,27,"Sweden","SWE","Catches","LBE","European lobster","Homarus gammarus",26,NA,TRUE,FALSE,"Lobster"
2012,27,"Sweden","SWE","Catches","NEP","Norway lobster","Nephrops norvegicus",1360,NA,TRUE,FALSE,"Lobster"
2012,5,"Sweden","SWE","Catches","SAL","Atlantic salmon","Salmo salar",64,NA,FALSE,TRUE,"Salmon"
2012,27,"Sweden","SWE","Catches","SAL","Atlantic salmon","Salmo salar",245,NA,FALSE,TRUE,"Salmon"
2012,61,"Taiwan","TWN","Catches","IBC","Japanese fan lobster","Ibacus ciliatus",933,NA,TRUE,FALSE,"Lobster"
2012,61,"Taiwan","TWN","Catches","LOJ","Longlegged spiny lobster","Panulirus longipes",31,NA,TRUE,FALSE,"Lobster"
2012,51,"Tanzania","TZA","Catches","NUR","Ornate spiny lobster","Panulirus ornatus",471,NA,TRUE,FALSE,"Lobster"
2012,57,"Thailand","THA","Catches","THQ","Flathead lobster","Thenus orientalis",124,NA,TRUE,FALSE,"Lobster"
2012,71,"Thailand","THA","Catches","THQ","Flathead lobster","Thenus orientalis",1161,NA,TRUE,FALSE,"Lobster"
2012,57,"Timor-Leste","TLS","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",15,NA,TRUE,FALSE,"Lobster"
2012,34,"Togo","TGO","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",1,NA,TRUE,FALSE,"Lobster"
2012,31,"Trinidad & Tobago","TTO","Catches","SLC","Caribbean spiny lobster","Panulirus argus",46,NA,TRUE,FALSE,"Lobster"
2012,37,"Tunisia","TUN","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",35,NA,TRUE,FALSE,"Lobster"
2012,37,"Tunisia","TUN","Catches","NEP","Norway lobster","Nephrops norvegicus",15,NA,TRUE,FALSE,"Lobster"
2012,37,"Turkey","TUR","Catches","LBE","European lobster","Homarus gammarus",8,NA,TRUE,FALSE,"Lobster"
2012,37,"Turkey","TUR","Catches","NEP","Norway lobster","Nephrops norvegicus",5,NA,TRUE,FALSE,"Lobster"
2012,37,"Turkey","TUR","Catches","SLO","Common spiny lobster","Palinurus elephas",9,NA,TRUE,FALSE,"Lobster"
2012,31,"Turks & Caicos Islands","TCA","Catches","SLC","Caribbean spiny lobster","Panulirus argus",205,NA,TRUE,FALSE,"Lobster"
2012,31,"U.S. Virgin Islands","VIR","Catches","SLC","Caribbean spiny lobster","Panulirus argus",76,NA,TRUE,FALSE,"Lobster"
2012,5,"United Kingdom","GBR","Aquaculture","SAL","Atlantic salmon","Salmo salar",4,164871.8599,FALSE,TRUE,"Salmon"
2012,27,"United Kingdom","GBR","Aquaculture","SAL","Atlantic salmon","Salmo salar",162543,824577437.5,FALSE,TRUE,"Salmon"
2012,27,"United Kingdom","GBR","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",26,NA,TRUE,FALSE,"Lobster"
2012,27,"United Kingdom","GBR","Catches","LBE","European lobster","Homarus gammarus",3078,NA,TRUE,FALSE,"Lobster"
2012,27,"United Kingdom","GBR","Catches","LOQ","Craylets, squat lobsters","Galatheidae",1,NA,TRUE,FALSE,"Lobster"
2012,27,"United Kingdom","GBR","Catches","NEP","Norway lobster","Nephrops norvegicus",32708,NA,TRUE,FALSE,"Lobster"
2012,27,"United Kingdom","GBR","Catches","SAL","Atlantic salmon","Salmo salar",5,NA,FALSE,TRUE,"Salmon"
2012,5,"United Kingdom","GBR","Catches","SAL","Atlantic salmon","Salmo salar",279,NA,FALSE,TRUE,"Salmon"
2012,21,"United States","USA","Aquaculture","SAL","Atlantic salmon","Salmo salar",19295,76987050,FALSE,TRUE,"Salmon"
2012,2,"United States","USA","Catches","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",139,NA,FALSE,TRUE,"Salmon"
2012,77,"United States","USA","Catches","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",1265,NA,FALSE,TRUE,"Salmon"
2012,67,"United States","USA","Catches","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",5117,NA,FALSE,TRUE,"Salmon"
2012,67,"United States","USA","Catches","CHU","Chum(=Keta=Dog) salmon","Oncorhynchus keta",68015,NA,FALSE,TRUE,"Salmon"
2012,67,"United States","USA","Catches","COH","Coho(=Silver) salmon","Oncorhynchus kisutch",10584,NA,FALSE,TRUE,"Salmon"
2012,21,"United States","USA","Catches","LBA","American lobster","Homarus americanus",67835,NA,TRUE,FALSE,"Lobster"
2012,31,"United States","USA","Catches","LOS","Slipper lobsters nei","Scyllaridae",1,NA,TRUE,FALSE,"Lobster"
2012,67,"United States","USA","Catches","PIN","Pink(=Humpback) salmon","Oncorhynchus gorbuscha",106734,NA,FALSE,TRUE,"Salmon"
2012,31,"United States","USA","Catches","SLC","Caribbean spiny lobster","Panulirus argus",1784,NA,TRUE,FALSE,"Lobster"
2012,77,"United States","USA","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",401,NA,TRUE,FALSE,"Lobster"
2012,67,"United States","USA","Catches","SOC","Sockeye(=Red) salmon","Oncorhynchus nerka",96544,NA,FALSE,TRUE,"Salmon"
2012,71,"Vietnam","VNM","Aquaculture","SLV","Tropical spiny lobsters nei","Panulirus spp",803,16578167.07,TRUE,FALSE,"Lobster"
2012,71,"Wallis & Futuna","WLF","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",1,NA,TRUE,FALSE,"Lobster"
2012,51,"Yemen","YEM","Catches","LOK","Scalloped spiny lobster","Panulirus homarus",122,NA,TRUE,FALSE,"Lobster"
2012,27,NA,"","Catches","LBE","European lobster","Homarus gammarus",338,NA,TRUE,FALSE,"Lobster"
2012,51,NA,"EAZ","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",1682,NA,TRUE,FALSE,"Lobster"
2013,37,"Albania","ALB","Catches","SLO","Common spiny lobster","Palinurus elephas",1,NA,TRUE,FALSE,"Lobster"
2013,37,"Algeria","DZA","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",6,NA,TRUE,FALSE,"Lobster"
2013,37,"Algeria","DZA","Catches","NEP","Norway lobster","Nephrops norvegicus",31,NA,TRUE,FALSE,"Lobster"
2013,31,"Anguilla","AIA","Catches","SLC","Caribbean spiny lobster","Panulirus argus",140,NA,TRUE,FALSE,"Lobster"
2013,31,"Anguilla","AIA","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",10,NA,TRUE,FALSE,"Lobster"
